freq_hz,s11_db,rin,xin
2615000000.0,-0.23497358002165403,56.34352015423097,450.1691049798724
2620000000.0,-0.22209843904006593,56.34352015423097,463.3824429478213
2625000000.0,-0.21026554107416898,56.34352015423097,476.5722746378701
2630000000.0,-0.19936554611402085,56.34352015423097,489.73873411624345
2635000000.0,-0.18930302282538303,56.34352015423097,502.8819544315838
2640000000.0,-0.17999438902042958,56.34352015423097,516.002067624591
2645000000.0,-0.17136619745131562,56.34352015423097,529.099204737546
2650000000.0,-0.16335370265751017,56.34352015423097,542.1734958237323
2655000000.0,-0.15589965767671934,56.34352015423097,555.2250699567471
2660000000.0,-0.14895329963176046,56.34352015423097,568.2540552397109
2665000000.0,-0.14246949120916472,56.34352015423097,581.2605788143683
2670000000.0,-0.13640799135737713,56.34352015423097,594.2447668700912
2675000000.0,-0.13073283353651252,56.34352015423097,607.2067446527813
